Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON,Year,Month,Day,DayOfWeek,Hour,Quarter,IsWeekend,TimeHour,TimeMinute,TimeOfDay
4440,200313253,05/26/2020 12:00:00 AM,05/22/2020 12:00:00 AM,1650,3,Southwest,359,2,649,DOCUMENT FORGERY / STOLEN FELONY,0923 0100 1202,67,F,W,603,CREDIT UNION,,,IC,Invest Cont,649,,,3700 S  FLOWER                       ST,34.0178,-118.2811,2020.0,5.0,22.0,4.0,0.0,2.0,0,16,50,Afternoon
4441,200115057,07/19/2020 12:00:00 AM,06/28/2020 12:00:00 AM,1400,1,Central,147,1,761,BRANDISH WEAPON,1218 2004 0334 0443 0913 0603,48,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207.0,OTHER KNIFE,AO,Adult Other,761,,,400 E  5TH                          ST,34.0453,-118.2443,2020.0,6.0,28.0,6.0,0.0,2.0,1,14,0,Afternoon
4442,201109916,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,2115,11,Northeast,1178,2,624,BATTERY - SIMPLE ASSAULT,0431 0400 0416 0913 0361,36,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,3200    GRANADA                      ST,34.0959,-118.2288,2020.0,5.0,29.0,4.0,0.0,2.0,0,21,15,Evening
4444,200916431,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,730,9,Van Nuys,998,1,310,BURGLARY,0329 1822,55,M,W,108,PARKING LOT,,,IC,Invest Cont,310,998.0,,4200    FULTON                       AV,34.1466,-118.4225,2020.0,10.0,25.0,6.0,0.0,4.0,1,7,30,Morning
4447,200511782,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,1,5,Harbor,569,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,SIGNAL,33.7257,-118.2766,2020.0,6.0,27.0,5.0,0.0,2.0,1,0,1,Night
4448,200711134,07-01-2020 00:00,05/29/2020 12:00:00 AM,1540,7,Wilshire,701,1,310,BURGLARY,1822,31,M,O,405,CLOTHING STORE,,,IC,Invest Cont,310,,,8200 W  MELROSE                      AV,34.0837,-118.3683,2020.0,5.0,29.0,4.0,0.0,2.0,0,15,40,Afternoon
4451,200708333,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1445,7,Wilshire,719,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1820 0913 1609,29,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,930,,,500 N  ROSSMORE                     AV,34.079,-118.3273,2020.0,4.0,16.0,3.0,0.0,2.0,0,14,45,Afternoon
4452,201218729,07/28/2020 12:00:00 AM,07/22/2020 12:00:00 AM,1,12,77th Street,1213,1,330,BURGLARY FROM VEHICLE,344,31,F,H,101,STREET,,,IC,Invest Cont,330,,,W  57TH                         ST,33.991,-118.315,2020.0,7.0,22.0,2.0,0.0,3.0,0,0,1,Night
4453,200911229,06/18/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1800,9,Van Nuys,994,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1420 1300 0344,37,M,W,101,STREET,,,IC,Invest Cont,420,,,3400    COY                          DR,34.1326,-118.4445,2020.0,6.0,17.0,2.0,0.0,2.0,0,18,0,Afternoon
4454,200900931,12-08-2020 00:00,11/23/2020 12:00:00 AM,900,9,Van Nuys,994,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 0352,52,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,13900    AUBREY                       RD,34.1377,-118.4371,2020.0,11.0,23.0,0.0,0.0,4.0,0,9,0,Morning
4455,200811440,07-04-2020 00:00,06/29/2020 12:00:00 AM,815,8,West LA,893,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,38,F,W,119,"PORCH, RESIDENTIAL",,,AO,Adult Other,440,,,2700    KELTON                       AV,34.0322,-118.4247,2020.0,6.0,29.0,0.0,0.0,2.0,0,8,15,Morning
4456,200708349,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,2002,7,Wilshire,767,2,624,BATTERY - SIMPLE ASSAULT,0444 0401,49,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,1300    12TH                         AV,34.0476,-118.3245,2020.0,4.0,16.0,3.0,0.0,2.0,0,20,2,Evening
4457,200310085,04/18/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1630,3,Southwest,327,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0394 1251 2032,22,F,B,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,341,,,1100 W  28TH                         ST,34.0294,-118.2839,2020.0,4.0,16.0,3.0,0.0,2.0,0,16,30,Afternoon
4458,200211573,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1410,2,Rampart,279,2,901,VIOLATION OF RESTRAINING ORDER,2038 2004,19,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,900    VALENCIA                     ST,34.05,-118.2713,2020.0,6.0,20.0,5.0,0.0,2.0,1,14,10,Afternoon
4460,200711816,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,450,7,Wilshire,765,2,623,BATTERY POLICE (SIMPLE),1212 0400,0,M,H,726,POLICE FACILITY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623,,,4800    VENICE                       BL,34.0465,-118.3419,2020.0,7.0,20.0,0.0,0.0,3.0,0,4,50,Night
4461,200509420,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,550,5,Harbor,506,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300 1309,64,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,1300 W  219TH                        ST,33.8292,-118.2995,2020.0,5.0,13.0,2.0,0.0,2.0,0,5,50,Night
4463,200208010,03/20/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1205,2,Rampart,203,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0216 1822,29,F,W,108,PARKING LOT,,,IC,Invest Cont,440,,,3900    MARATHON                     ST,34.0846,-118.2845,2020.0,3.0,20.0,4.0,0.0,1.0,0,12,5,Morning
4464,200305112,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,145,3,Southwest,332,2,888,TRESPASSING,1275 1402 1822,19,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,4400    EXPOSITION                   BL,34.0238,-118.3423,2020.0,1.0,20.0,0.0,0.0,1.0,0,1,45,Night
4465,200116861,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,320,1,Central,124,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2032 1202 0345 1822 0352 0910,61,F,W,124,BUS STOP,,,IC,Invest Cont,440,,,1ST,34.0519,-118.243,2020.0,8.0,24.0,0.0,0.0,3.0,0,3,20,Night
4466,200113395,06/14/2020 12:00:00 AM,06/13/2020 12:00:00 AM,1638,1,Central,174,1,330,BURGLARY FROM VEHICLE,344,68,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,700 S  SPRING                       ST,34.0445,-118.2523,2020.0,6.0,13.0,5.0,0.0,2.0,1,16,38,Afternoon
4468,201016415,12/26/2020 12:00:00 AM,12/25/2020 12:00:00 AM,1800,10,West Valley,1011,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1300 1414 1420,25,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,18900    SHERMAN                      WY,34.2012,-118.5469,2020.0,12.0,25.0,4.0,0.0,4.0,0,18,0,Afternoon
4469,200115534,07/29/2020 12:00:00 AM,07/28/2020 12:00:00 AM,2100,1,Central,166,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,AO,Adult Other,510,,,600 S  SAN PEDRO                    ST,34.0421,-118.2469,2020.0,7.0,28.0,1.0,0.0,3.0,0,21,0,Evening
4470,200617428,10/31/2020 12:00:00 AM,10/31/2020 12:00:00 AM,1315,6,Hollywood,645,1,310,BURGLARY,1300 0344 1822,51,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,,,1800    OUTPOST                      DR,34.1041,-118.3439,2020.0,10.0,31.0,5.0,0.0,4.0,1,13,15,Afternoon
4473,201013579,09/30/2020 12:00:00 AM,07/19/2020 12:00:00 AM,900,10,West Valley,1025,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1236 1420,0,M,O,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,341,,,7000    RESEDA                       BL,34.1977,-118.536,2020.0,7.0,19.0,6.0,0.0,3.0,1,9,0,Morning
4474,200109376,03/18/2020 12:00:00 AM,03/16/2020 12:00:00 AM,2250,1,Central,111,1,310,BURGLARY,0344 1822 2004 1202 0377 1420,67,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,310,,,900    SUN MUN                      WY,34.0655,-118.2372,2020.0,3.0,16.0,0.0,0.0,1.0,0,22,50,Evening
4475,200212616,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,2150,2,Rampart,235,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822 1601,27,F,B,101,STREET,,,IC,Invest Cont,420,,,VALLEY,34.0651,-118.2721,2020.0,7.0,15.0,2.0,0.0,3.0,0,21,50,Evening
4476,200816558,11/17/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1805,8,West LA,892,2,354,THEFT OF IDENTITY,0100 0930 0922,40,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,354,,,2400 S  BARRINGTON                   AV,34.0312,-118.4454,2020.0,8.0,31.0,0.0,0.0,3.0,0,18,5,Afternoon
4477,200911585,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1230,9,Van Nuys,939,2,624,BATTERY - SIMPLE ASSAULT,416,44,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,13100    VICTORY                      BL,34.1867,-118.4185,2020.0,6.0,25.0,3.0,0.0,2.0,0,12,30,Morning
4480,200115120,07/21/2020 12:00:00 AM,07/20/2020 12:00:00 AM,200,1,Central,111,1,210,ROBBERY,0352 1309 1251 1822 0443 0344 1240,21,F,A,102,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210,,,900 N  BROADWAY,34.0615,-118.2412,2020.0,7.0,20.0,0.0,0.0,3.0,0,2,0,Night
